Name,ShapeQuery,TanimotoCombo,ShapeTanimoto,ColorTanimoto
STC_1_44,mini_1l2s_model0_chainB_STC_resi3115__chainB_altB_chainA_1,0.99,0.58,0.41
CYZ_6_15,mini_1lbc_model0_chainC_CYZ_resi331__chainA_chainC_1,1.066,0.765,0.301
CYZ_29_1,mini_1lbc_model0_chainC_CYZ_resi331__chainA_chainC_1,1.039,0.778,0.262
CYZ_11_5,mini_1lbc_model0_chainC_CYZ_resi331__chainA_chainC_1,1.002,0.753,0.249
ESM_30_65,mini_1lhw_model0_chainA_ESM_resi301__chainA_altA_1,1.012,0.788,0.224
ESM_29_2,mini_1lhw_model0_chainA_ESM_resi301__chainA_altA_1,1.001,0.742,0.259
ESM_26_52,mini_1lhw_model0_chainA_ESM_resi301__chainA_altA_1,1.0,0.74,0.26
DOG_32_138,mini_1lke_model0_chainA_DOG_resi500__chainA_1,0.915,0.7,0.215
DOG_14_258,mini_1lke_model0_chainA_DOG_resi500__chainA_1,0.905,0.692,0.214
DOG_24_172,mini_1lke_model0_chainA_DOG_resi500__chainA_1,0.877,0.657,0.22
DTX_16_38,mini_1lnm_model0_chainA_DTX_resi700__chainA_1,1.015,0.712,0.303
DTX_21_4,mini_1lnm_model0_chainA_DTX_resi700__chainA_1,0.95,0.693,0.257
DTX_15_19,mini_1lnm_model0_chainA_DTX_resi700__chainA_1,0.94,0.693,0.247
BC1_29_69,mini_1lo0_model0_chainY_BC1_resi500__chainY_1,0.883,0.62,0.263
BC1_21_6,mini_1lo0_model0_chainY_BC1_resi500__chainY_1,0.868,0.583,0.285
BC1_23_22,mini_1lo0_model0_chainY_BC1_resi500__chainY_1,0.867,0.612,0.255
COG_32_203,mini_1ly3_model0_chainA_COG_resi307__chainA_1,0.988,0.772,0.216
COG_28_49,mini_1ly3_model0_chainA_COG_resi307__chainA_1,0.979,0.761,0.218
COG_25_5,mini_1ly3_model0_chainA_COG_resi307__chainA_1,0.964,0.762,0.203
RAC_13_0,mini_1mex_model0_chainH_RAC_resi601__chainH_altB_chainL_altA_1,1.123,0.694,0.429
RAC_23_154,mini_1mex_model0_chainH_RAC_resi601__chainH_altB_chainL_altA_1,1.092,0.774,0.318
RAC_32_4,mini_1mex_model0_chainH_RAC_resi601__chainH_altB_chainL_altA_1,1.054,0.638,0.417
DTM_27_49,mini_1mvs_model0_chainA_DTM_resi187__chainA_1,1.058,0.825,0.234
DTM_11_4,mini_1mvs_model0_chainA_DTM_resi187__chainA_1,0.971,0.771,0.2
DTM_23_214,mini_1mvs_model0_chainA_DTM_resi187__chainA_1,0.947,0.63,0.318
PFA_21_273,mini_1n46_model0_chainB_PFA_resi463__chainB_1,0.958,0.736,0.222
PFA_14_15,mini_1n46_model0_chainB_PFA_resi463__chainB_1,0.941,0.659,0.282
PFA_31_32,mini_1n46_model0_chainB_PFA_resi463__chainB_1,0.924,0.729,0.195
794_22_17,mini_1no6_model0_chainA_794_resi322__chainA_1,1.008,0.7,0.309
794_20_8,mini_1no6_model0_chainA_794_resi322__chainA_1,0.947,0.642,0.305
794_26_66,mini_1no6_model0_chainA_794_resi322__chainA_1,0.892,0.713,0.179
696_28_97,mini_1o2g_model0_chainH_696_resi410__chainH_altA_1,1.006,0.757,0.249
696_31_37,mini_1o2g_model0_chainH_696_resi410__chainH_altA_1,0.921,0.685,0.236
696_13_63,mini_1o2g_model0_chainH_696_resi410__chainH_altA_1,0.918,0.785,0.133
CR3_16_39,mini_1o2h_model0_chainA_CR3_resi246__chainA_altB_1,1.024,0.773,0.251
CR3_6_4,mini_1o2h_model0_chainA_CR3_resi246__chainA_altB_1,0.984,0.748,0.235
